Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
40-instance-59, 40, 9, 0.034,0.853,0.396,37,7,3.43323e-05,0.333333,0.25,
40-instance-60, 40, 17, 0.022,0.559,1.278,33,14,6.1009e-08,0.470588,0.166667,
40-instance-61, 40, 8, 0.009,0.154,0.349,37,6,0.00274348,0.5,0.333333,
40-instance-62, 40, 15, 0.019,0.649,0.966,37,10,3.2768e-11,0.333333,0.1,
40-instance-63, 40, 14, 0.021,0.521,0.82,34,11,1.79219e-06,0.428571,0.285714,
40-instance-64, 40, 14, 0.005,0.062,0.484,35,12,4.68306e-10,0.285714,0.125,
40-instance-65, 40, 5, 0.006,0.165,0.116,40,5,0.32768,0.8,0.8,
50-instance-1, 50, 8, 0.017,0.524,0.156,50,8,5.96046e-08,0.125,0.125,
50-instance-2, 50, 19, 0.033,1.183,1.563,42,14,9.8464e-15,0.210526,0.111111,
50-instance-3, 50, 27, 0.031,0.824,3.153,35,24,8.56569e-16,0.333333,0.176471,
50-instance-4, 50, 18, 0.035,0.853,1.8,43,8,8.88178e-16,0.166667,0.125,
50-instance-5, 50, 18, 0.025,0.858,1.894,43,17,5.83392e-13,0.222222,0.1875,
50-instance-6, 50, 8, 0.019,0.545,0.388,46,6,0.000193843,0.375,0.25,
50-instance-7, 50, 13, 0.026,1.232,1.253,45,7,5.26396e-09,0.230769,0.230769,
50-instance-8, 50, 23, 0.026,0.785,1.884,43,21,6.61006e-20,0.217391,0.0909091,
50-instance-9, 50, 21, 0.036,0.806,2.402,36,19,8.84584e-08,0.47619,0.384615,
50-instance-10, 50, 9, 0.008,0.471,0.207,50,9,2.58117e-09,0.111111,0.111111,
50-instance-11, 50, 19, 0.029,1.227,3.328,38,16,1.11447e-07,0.473684,0.285714,
50-instance-12, 50, 19, 0.024,0.591,1.935,41,13,1.98682e-08,0.473684,0.166667,
50-instance-13, 50, 32, 0.03,0.917,4.336,35,22,4.31424e-16,0.46875,0.142857,
50-instance-14, 50, 11, 0.028,0.647,0.649,45,10,3.3039e-07,0.272727,0.222222,
50-instance-15, 50, 22, 0.02,0.692,1.601,42,7,3.22265e-16,0.272727,0.142857,
50-instance-16, 50, 30, 0.035,1.232,4.952,38,26,4.56142e-18,0.3,0.176471,
50-instance-17, 50, 20, 0.026,0.664,4.132,38,15,2.77243e-08,0.45,0.25,
50-instance-18, 50, 13, 0.02,0.409,1.101,42,10,2.66667e-05,0.461538,0.333333,
50-instance-19, 50, 19, 0.02,0.732,1.785,43,10,2.76356e-08,0.473684,0.25,
50-instance-20, 50, 23, 0.023,0.737,6.963,34,19,3.32957e-10,0.391304,0.333333,
50-instance-21, 50, 16, 0.021,0.389,0.551,49,15,9.78279e-16,0.1875,0.0769231,
50-instance-22, 50, 9, 0.026,1.321,0.648,47,6,7.93832e-07,0.222222,0.166667,
50-instance-23, 50, 27, 0.036,1.097,4.079,34,19,3.62413e-14,0.37037,0.2,
50-instance-24, 50, 29, 0.025,0.645,2.783,33,27,6.9158e-19,0.275862,0.166667,
50-instance-25, 50, 16, 0.019,0.666,1.183,44,14,0.000886885,0.6875,0.4,
50-instance-26, 50, 11, 0.023,0.723,0.69,44,9,3.3039e-07,0.272727,0.222222,
50-instance-27, 50, 24, 0.018,0.656,1.892,39,19,6.91078e-15,0.375,0.133333,
50-instance-28, 50, 15, 0.037,1.422,1.458,45,12,4.16415e-10,0.266667,0.142857,
50-instance-29, 50, 14, 0.023,0.643,1.053,43,10,0.0335276,0.785714,0.75,
50-instance-30, 50, 6, 0.028,1.222,0.44,49,4,0.0791016,0.666667,0.5,
50-instance-31, 50, 17, 0.018,0.51,1.306,44,12,3.70983e-11,0.294118,0.125,
50-instance-32, 50, 14, 0.025,0.972,1.2,45,13,4.99037e-07,0.428571,0.166667,
50-instance-33, 50, 4, 0.028,0.854,0.17,48,2,0.0625,0.5,0.5,
50-instance-34, 50, 17, 0.026,1.19,1.54,42,16,1.17663e-13,0.176471,0.142857,
50-instance-35, 50, 6, 0.024,1.268,0.385,47,4,0.015625,0.5,0.5,
50-instance-36, 50, 20, 0.028,1.041,1.747,43,17,4.35091e-15,0.25,0.133333,
50-instance-37, 50, 23, 0.033,1.171,4.353,39,22,9.97665e-16,0.26087,0.142857,
50-instance-38, 50, 21, 0.027,1.052,3.753,37,16,5.68434e-06,0.571429,0.5,
50-instance-39, 50, 24, 0.019,0.588,2.21,37,17,1.72467e-09,0.458333,0.25,
50-instance-40, 50, 8, 0.006,0.116,0.191,49,4,0.00390625,0.5,0.5,
50-instance-41, 50, 22, 0.029,0.945,123.208,37,20,1.84589e-13,0.318182,0.1875,
50-instance-42, 50, 18, 0.043,1.508,396.959,43,16,0.00250565,0.722222,0.5,
50-instance-43, 50, 19, 0.02,0.489,1.765,44,18,1.50983e-14,0.210526,0.142857,
50-instance-44, 50, 17, 0.036,1.542,3.419,41,16,1.94283e-05,0.529412,0.5,
50-instance-45, 50, 11, 0.024,0.722,0.347,50,11,3.50494e-12,0.0909091,0.0909091,
50-instance-46, 50, 13, 0.024,0.396,1.009,43,9,2.37037e-05,0.461538,0.333333,
50-instance-47, 50, 13, 0.051,1.81,1.396,45,11,3.79259e-09,0.230769,0.2,
50-instance-48, 50, 35, 0.028,0.621,5.912,31,29,9.32578e-24,0.314286,0.0769231,
50-instance-49, 50, 21, 0.025,0.752,1.767,41,11,4.34226e-12,0.380952,0.166667,
50-instance-50, 50, 9, 0.008,0.189,0.346,46,4,0.000514403,0.444444,0.333333,
60-instance-1, 60, 17, 0.022,0.234,0.684,54,13,3.05161e-14,0.235294,0.0909091,
60-instance-2, 60, 31, 0.034,1.287,5.779,45,27,3.48439e-21,0.290323,0.15,
60-instance-3, 60, 30, 0.029,0.919,7.763,45,23,3.38541e-18,0.333333,0.142857,
60-instance-4, 60, 31, 0.043,1.409,8.484,42,27,2.00659e-18,0.354839,0.0909091,
60-instance-5, 60, 15, 0.03,1.043,3.393,52,13,6.82254e-06,0.466667,0.333333,
60-instance-6, 60, 42, 0.052,1.378,295.041,34,38,3.93067e-21,0.404762,0.166667,
60-instance-7, 60, 22, 0.032,1.319,1.928,51,20,7.0988e-15,0.318182,0.133333,
60-instance-8, 60, 45, 0.027,1.09,86.287,39,36,4.37397e-30,0.288889,0.153846,
60-instance-9, 60, 25, 0.016,0.773,1.894,50,21,1.54755e-17,0.28,0.125,
60-instance-10, 60, 24, 0.03,1.367,3.559,52,21,4.67926e-18,0.208333,0.111111,
