Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.05_39, 15, 9, 0.057,2.044,70.334,31,1000,0.487222,0.487832,0.42875,7.22858,11.0677,1,
TT_15_0.05_40, 15, 10, 0.047,1.541,38.111,31,1000,0.497116,0.497718,0.462667,2.65189,3.1895,0.996,
TT_15_0.05_41, 15, 12, 0.07,2.272,47.087,31,1000,0.525605,0.527879,0.488333,5.72703,7.12758,1,
TT_15_0.05_42, 15, 8, 0.051,1.845,70.154,31,1000,0.496607,0.496708,0.474889,5.41868,5.72038,1,
TT_15_0.05_43, 15, 10, 0.038,1.333,33.087,31,1000,0.499906,0.5,0.483,3.32208,3.8,1,
TT_15_0.05_44, 15, 13, 0.136,1.918,45.14,31,1000,0.517084,0.521808,0.391,5.13355,6.62092,1,
TT_15_0.05_45, 15, 12, 0.057,2.03,49.58,31,1000,0.500372,0.500788,0.449875,3.64214,5.20042,0.49,
TT_15_0.05_46, 15, 7, 0.043,1.642,40.112,31,1000,0.499894,0.5,0.483333,6.99435,7.28571,1,
TT_15_0.05_47, 15, 8, 0.035,1.033,28.808,31,1000,0.499724,0.5,0.473,3.13034,4,0.946,
TT_15_0.05_48, 15, 12, 0.2,2.894,88.882,31,1000,0.524645,0.527278,0.471,3.44845,4.40675,0.659,
TT_15_0.05_49, 15, 11, 0.032,1.063,30.178,31,1000,0.538449,0.540709,0.458625,2.6545,3.08909,0.626,
TT_15_0.25_0, 15, 10, 0.365,6.572,211.13,31,1000,0.549186,0.556866,0.472125,4.50951,6.7284,0.74,
TT_15_0.25_1, 15, 9, 0.049,1.718,44.289,31,1000,0.498283,0.499039,0.449,4.19326,4.47956,1,
TT_15_0.25_2, 15, 9, 0.063,2.98,85.753,31,1000,0.49992,0.500215,0.477143,3.68997,4.44133,1,
TT_15_0.25_3, 15, 8, 0.06,2.013,78.817,31,1000,0.511343,0.512837,0.486136,6.08227,6.87913,1,
TT_15_0.25_4, 15, 8, 0.049,1.395,39.423,31,1000,0.499883,0.5,0.49,6.34925,6.875,1,
TT_15_0.25_5, 15, 6, 0.04,1.077,32.171,31,1000,0.547461,0.551133,0.488,5.94415,6.33333,1,
TT_15_0.25_6, 15, 9, 0.042,1.322,36.483,31,1000,0.499898,0.5,0.483,3.53519,4.22222,0.984,
TT_15_0.25_7, 15, 5, 0.101,1.922,53.153,31,1000,0.499719,0.4998,0.490167,2.83067,5.5454,0.498,
TT_15_0.25_8, 15, 12, 0.214,8.975,210.484,31,1000,0.563039,0.569531,0.449036,7.37343,11.2488,0.575,
TT_15_0.25_9, 15, 7, 0.06,1.6,43.021,31,1000,0.500799,0.500912,0.487667,11.2918,13.8911,1,
TT_15_0.25_10, 15, 9, 0.152,3.345,99.773,31,1000,0.502572,0.504047,0.43337,6.88545,9.52544,1,
TT_15_0.25_11, 15, 4, 0.048,1.316,35.216,31,1000,0.484824,0.484931,0.468,4.11387,4.12,1,
TT_15_0.25_12, 15, 11, 0.109,3.947,113.154,31,1000,0.548503,0.557118,0.339833,4.63154,6.48009,0.586,
TT_15_0.25_13, 15, 9, 0.13,2.718,71.306,31,1000,0.500354,0.500594,0.474333,3.87222,6.11444,0.49,
TT_15_0.25_14, 15, 11, 0.118,2.16,56.974,31,1000,0.529386,0.53235,0.473,3.24507,6.74582,0.473,
TT_15_0.25_15, 15, 6, 0.055,1.607,39.092,31,1000,0.498575,0.499063,0.462,3.46612,3.4925,1,
TT_15_0.25_16, 15, 7, 0.041,1.131,34.537,31,1000,0.498995,0.499258,0.473375,4.91211,4.99686,1,
TT_15_0.25_17, 15, 9, 0.474,4.446,146.363,31,1000,0.458202,0.461534,0.373167,7.64984,9.52589,1,
