Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
40-instance-13, 40, 11, 0.013,0.31,0.488,32,4,0.00109863,0.545455,0.5,
40-instance-14, 40, 13, 0.02,0.49,0.552,34,13,5.26396e-09,0.230769,0.230769,
40-instance-15, 40, 18, 0.018,0.446,1.096,31,15,1.39283e-11,0.277778,0.181818,
40-instance-16, 40, 18, 0.019,0.462,1,31,17,1.36192e-10,0.333333,0.214286,
40-instance-17, 40, 23, 0.021,0.535,1.373,31,21,2.32604e-19,0.217391,0.105263,
40-instance-18, 40, 11, 0.014,0.294,0.457,34,8,2.80933e-05,0.454545,0.2,
40-instance-19, 40, 14, 0.036,0.501,1.092,31,13,4.35579e-06,0.428571,0.363636,
40-instance-20, 40, 0, 0.01,0.124,0,41,0,1,-nan(ind),1,
40-instance-21, 40, 19, 0.016,0.352,0.887,28,18,1.94522e-08,0.421053,0.307692,
40-instance-22, 40, 8, 0.009,0.092,0.234,36,5,0.00260417,0.5,0.333333,
40-instance-23, 40, 19, 0.024,0.52,1.362,32,15,4.67178e-08,0.473684,0.2,
40-instance-24, 40, 13, 0.003,0.043,0.417,37,10,1.18581e-09,0.230769,0.142857,
40-instance-25, 40, 5, 0.014,0.428,0.189,39,4,0.00925926,0.4,0.333333,
40-instance-26, 40, 9, 0.009,0.26,0.348,38,8,0.00128,0.555556,0.25,
40-instance-27, 40, 20, 0.013,0.232,0.715,31,14,2.30381e-14,0.25,0.142857,
40-instance-28, 40, 9, 0.021,0.29,0.434,36,7,0.02048,0.666667,0.5,
40-instance-29, 40, 18, 0.018,0.425,1.303,30,15,2.03349e-08,0.388889,0.3,
40-instance-30, 40, 21, 0.025,0.477,1.997,27,19,8.62718e-10,0.380952,0.307692,
40-instance-31, 40, 17, 0.016,0.493,0.767,33,14,1.47006e-13,0.176471,0.166667,
40-instance-32, 40, 20, 0.025,0.489,1.836,29,15,2.39358e-05,0.6,0.5,
40-instance-33, 40, 19, 0.017,0.421,1.432,28,15,9.49684e-11,0.315789,0.222222,
40-instance-34, 40, 18, 0.024,0.677,1.539,35,16,1.3013e-10,0.388889,0.142857,
40-instance-35, 40, 14, 0.013,0.302,0.702,32,11,2.46652e-06,0.428571,0.285714,
40-instance-36, 40, 17, 0.013,0.365,0.807,34,13,1.29014e-12,0.235294,0.142857,
40-instance-37, 40, 18, 0.017,0.529,1.087,32,5,5.89824e-10,0.388889,0.2,
40-instance-38, 40, 23, 0.023,0.464,2.094,29,20,3.29758e-12,0.391304,0.181818,
40-instance-39, 40, 4, 0.001,0.015,0.053,40,4,0.00390625,0.25,0.25,
40-instance-40, 40, 11, 0.014,0.214,0.35,34,9,0.000106667,0.454545,0.333333,
40-instance-41, 40, 2, 0.013,0.347,0.052,40,2,0.25,0.5,0.5,
40-instance-42, 40, 16, 0.015,0.435,0.928,32,14,8.11563e-06,0.5,0.4,
40-instance-43, 40, 9, 0.016,0.129,0.227,37,7,6.20181e-07,0.222222,0.166667,
40-instance-44, 40, 18, 0.016,0.386,1.267,31,14,2.36328e-07,0.444444,0.333333,
40-instance-45, 40, 18, 0.012,0.317,0.969,33,13,5.75954e-15,0.166667,0.142857,
40-instance-46, 40, 14, 0.013,0.286,0.391,36,10,2.7e-13,0.142857,0.1,
40-instance-47, 40, 12, 0.005,0.072,0.35,35,11,6.36625e-06,0.416667,0.2,
40-instance-48, 40, 23, 0.003,0.031,0.679,36,18,0,0.0869565,0,
40-instance-49, 40, 14, 0.012,0.154,0.462,34,11,1.11037e-08,0.285714,0.222222,
40-instance-50, 40, 22, 0.018,0.51,1.346,30,21,1.11384e-11,0.409091,0.2,
40-instance-51, 40, 26, 0.01,0.2,1.389,32,24,2.36746e-22,0.269231,0.0625,
40-instance-52, 40, 18, 0.023,0.553,1.047,32,17,8.65518e-15,0.166667,0.153846,
40-instance-53, 40, 8, 0.02,0.474,0.361,38,4,0.0197754,0.625,0.5,
40-instance-54, 40, 13, 0.012,0.304,0.65,32,10,0.0002025,0.538462,0.4,
40-instance-55, 40, 15, 0.019,0.374,0.711,34,13,9.48148e-10,0.266667,0.2,
